Campaign_ID,Campaign_Name,Platform,Ad_Type,Start_Date,End_Date,Budget,Spend,Impressions,Reach,Clicks,Likes,Shares,Comments,Conversions,Revenue,Target_Audience,Region
CAM001,Summer Sale 2024,Instagram,Image Ad,2024-06-01,2024-06-15,5000,4800,250000,180000,12500,8500,1200,650,380,15200,18-35 Adults,North America
CAM002,Summer Sale 2024,Facebook,Video Ad,2024-06-01,2024-06-15,6000,5750,320000,220000,16000,9200,1800,780,520,20800,18-45 Adults,North America
CAM003,Product Launch X,Instagram,Carousel Ad,2024-06-10,2024-06-25,8000,7600,410000,290000,20500,15000,2500,1100,720,36000,25-45 Adults,Europe
CAM004,Product Launch X,Facebook,Image Ad,2024-06-10,2024-06-25,7000,6800,380000,260000,19000,12000,2100,890,650,32500,25-45 Adults,Europe
CAM005,Brand Awareness,Instagram,Story Ad,2024-06-15,2024-06-30,4000,3900,200000,150000,10000,6800,900,420,280,11200,18-30 Adults,Asia Pacific
CAM006,Brand Awareness,Facebook,Video Ad,2024-06-15,2024-06-30,5500,5200,280000,200000,14000,9500,1500,620,420,16800,18-35 Adults,Asia Pacific
CAM007,Holiday Promo,Instagram,Reel Ad,2024-07-01,2024-07-15,10000,9500,520000,380000,26000,18500,3200,1400,980,49000,20-50 Adults,Global
CAM008,Holiday Promo,Facebook,Carousel Ad,2024-07-01,2024-07-15,9000,8700,480000,340000,24000,16000,2800,1200,850,42500,20-50 Adults,Global
CAM009,Flash Sale,Instagram,Image Ad,2024-07-05,2024-07-08,3000,2900,150000,110000,7500,5200,700,320,220,8800,18-40 Adults,North America
CAM010,Flash Sale,Facebook,Story Ad,2024-07-05,2024-07-08,3500,3400,180000,130000,9000,6100,850,400,280,11200,18-40 Adults,North America
CAM011,New Collection,Instagram,Video Ad,2024-07-10,2024-07-25,7500,7200,390000,280000,19500,14200,2300,980,680,34000,22-40 Adults,Europe
CAM012,New Collection,Facebook,Image Ad,2024-07-10,2024-07-25,6500,6300,350000,250000,17500,11800,1900,820,580,29000,22-40 Adults,Europe
CAM013,Back to School,Instagram,Carousel Ad,2024-08-01,2024-08-20,9000,8600,460000,330000,23000,16800,2700,1150,820,41000,25-45 Parents,North America
CAM014,Back to School,Facebook,Video Ad,2024-08-01,2024-08-20,8500,8200,440000,310000,22000,15200,2500,1050,780,39000,25-45 Parents,North America
CAM015,Fall Fashion,Instagram,Reel Ad,2024-08-15,2024-08-31,6000,5800,310000,220000,15500,11200,1800,750,540,27000,18-35 Adults,Europe
CAM016,Fall Fashion,Facebook,Carousel Ad,2024-08-15,2024-08-31,5500,5300,290000,200000,14500,10000,1600,680,480,24000,18-35 Adults,Europe
CAM017,Weekend Deals,Instagram,Story Ad,2024-08-20,2024-08-22,2500,2400,120000,90000,6000,4200,550,260,180,7200,20-45 Adults,Asia Pacific
CAM018,Weekend Deals,Facebook,Image Ad,2024-08-20,2024-08-22,2800,2700,140000,100000,7000,4800,650,300,210,8400,20-45 Adults,Asia Pacific
CAM019,Premium Launch,Instagram,Video Ad,2024-09-01,2024-09-15,12000,11500,600000,420000,30000,22000,3800,1600,1100,66000,30-55 Adults,Global
CAM020,Premium Launch,Facebook,Video Ad,2024-09-01,2024-09-15,11000,10600,550000,390000,27500,19500,3400,1450,980,58800,30-55 Adults,Global
CAM021,Autumn Sale,Instagram,Image Ad,2024-09-10,2024-09-25,5500,5300,280000,200000,14000,9800,1550,660,460,23000,18-40 Adults,North America
CAM022,Autumn Sale,Facebook,Carousel Ad,2024-09-10,2024-09-25,5000,4800,260000,185000,13000,8900,1400,600,420,21000,18-40 Adults,North America
CAM023,Clearance Event,Instagram,Story Ad,2024-09-20,2024-09-30,4500,4300,230000,165000,11500,8000,1250,530,370,18500,22-45 Adults,Europe
CAM024,Clearance Event,Facebook,Image Ad,2024-09-20,2024-09-30,4000,3850,210000,150000,10500,7200,1100,480,330,16500,22-45 Adults,Europe
CAM025,Black Friday,Instagram,Reel Ad,2024-11-20,2024-11-30,15000,14500,750000,520000,37500,27000,4500,1900,1350,81000,18-55 Adults,Global
CAM026,Black Friday,Facebook,Video Ad,2024-11-20,2024-11-30,14000,13600,700000,490000,35000,24500,4100,1750,1220,73200,18-55 Adults,Global
CAM027,Cyber Monday,Instagram,Carousel Ad,2024-12-01,2024-12-02,8000,7800,400000,280000,20000,14500,2350,1000,700,42000,20-50 Adults,North America
CAM028,Cyber Monday,Facebook,Story Ad,2024-12-01,2024-12-02,7500,7300,380000,265000,19000,13500,2200,940,660,39600,20-50 Adults,North America
CAM029,Winter Collection,Instagram,Video Ad,2024-12-05,2024-12-20,9500,9100,470000,330000,23500,17000,2750,1170,820,49200,22-40 Adults,Europe
CAM030,Winter Collection,Facebook,Carousel Ad,2024-12-05,2024-12-20,8500,8200,430000,300000,21500,15200,2450,1050,740,44400,22-40 Adults,Europe
